CustomerID,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,Children,ChildrenAtHome,Education
AW00011023,Seth,M,Edwards,1984-04-09,M,M,40000.00,0,0,Partial College
AW00011024,Russell,NULL,Xie,1984-03-16,M,M,60000.00,0,0,Partial College
AW00011025,Alejandro,NULL,Beck,1951-06-22,M,M,10000.00,2,1,Partial High School
AW00011026,Harold,NULL,Sai,1951-10-01,S,M,30000.00,2,0,Partial College
AW00011027,Jessie,R,Zhao,1952-06-05,M,M,30000.00,2,0,Partial College
AW00011028,Jill,NULL,Jimenez,1951-10-09,M,F,30000.00,2,0,Partial College
AW00011029,Jimmy,L,Moreno,1952-06-19,M,M,30000.00,2,0,Partial College
AW00011030,Bethany,G,Yuan,1958-02-18,M,F,10000.00,2,1,Partial High School
AW00011031,Theresa,G,Ramos,1953-02-18,M,F,20000.00,4,0,High School
AW00011032,Denise,NULL,Stone,1952-12-08,M,F,20000.00,4,0,High School
AW00011033,Jaime,NULL,Nath,1958-09-19,M,M,20000.00,4,0,High School
AW00011034,Ebony,NULL,Gonzalez,1952-12-16,M,F,20000.00,4,0,High School
AW00011035,Wendy,NULL,Dominguez,1953-08-23,M,F,10000.00,2,1,Partial High School
AW00011036,Jennifer,C,Russell,1984-06-16,M,F,60000.00,0,0,Partial College
AW00011037,Chloe,M,Garcia,1983-05-27,S,F,40000.00,0,0,Partial High School
AW00011038,Diana,F,Hernandez,1953-09-20,M,F,10000.00,2,1,Partial High School
AW00011039,Marc,J,Martin,1954-06-16,M,M,30000.00,3,0,Partial College
AW00011040,Jesse,NULL,Murphy,1983-01-29,M,M,30000.00,0,0,Partial College
AW00011041,Amanda,M,Carter,1983-04-15,M,F,60000.00,0,0,Partial College
AW00011042,Megan,J,Sanchez,1982-12-11,M,F,70000.00,0,0,Partial College
AW00011043,Nathan,M,Simmons,1981-08-23,M,M,60000.00,0,0,Partial College
AW00011044,Adam,L,Flores,1954-11-21,M,M,20000.00,2,1,Partial High School
AW00011045,Leonard,G,Nara,1955-11-16,S,M,30000.00,3,0,High School
AW00011046,Christine,NULL,Yuan,1955-09-19,M,F,30000.00,3,0,High School
AW00011047,Jaclyn,D,Lu,1955-08-27,M,F,30000.00,3,0,High School
AW00011048,Jeremy,NULL,Powell,1956-05-21,M,M,30000.00,3,0,High School
AW00011049,Carol,C,Rai,1986-01-15,S,F,40000.00,0,0,Partial High School
AW00011050,Alan,NULL,Zheng,1957-03-06,M,M,30000.00,3,0,High School
AW00011051,Daniel,NULL,Johnson,1957-01-31,S,M,30000.00,3,0,High School
AW00011052,Heidi,NULL,Lopez,1957-02-03,S,F,40000.00,2,0,Partial College
AW00011053,Ana,E,Price,1986-02-17,M,F,60000.00,0,0,Partial College
AW00011054,Deanna,NULL,Munoz,1957-09-07,M,F,40000.00,2,0,Partial College
AW00011055,Gilbert,NULL,Raje,1957-09-02,M,M,40000.00,2,0,Partial College
AW00011056,Michele,L,Nath,1958-10-01,M,F,40000.00,3,0,Partial College
AW00011057,Carl,J,Andersen,1970-04-07,M,M,70000.00,2,0,Graduate Degree
AW00011058,Marc,NULL,Diaz,1965-04-23,M,M,80000.00,2,0,Partial College
AW00011059,Ashlee,J,Andersen,1959-09-29,S,F,80000.00,2,0,Partial College
AW00011060,Jon,L,Zhou,1959-09-14,M,M,80000.00,2,0,Partial College
AW00011061,Todd,M,Gao,1976-02-20,M,M,80000.00,2,0,Partial College
AW00011062,Noah,D,Powell,1981-03-01,M,M,40000.00,0,0,High School
AW00011063,Angela,NULL,Murphy,1980-10-04,S,F,40000.00,0,0,High School
AW00011064,Chase,NULL,Reed,1981-06-05,M,M,40000.00,0,0,High School
AW00011065,Jessica,NULL,Henderson,1979-04-08,M,F,60000.00,0,0,Partial College
AW00011066,Grace,T,Butler,1979-05-27,M,F,70000.00,0,0,Partial College
AW00011067,Caleb,F,Carter,1982-03-25,S,M,60000.00,0,0,Partial College
AW00011068,Tiffany,NULL,Liang,1966-09-19,S,F,80000.00,2,0,High School
AW00011069,Carolyn,NULL,Navarro,1966-09-17,S,F,80000.00,2,0,High School
AW00011070,Willie,T,Raji,1960-10-02,M,M,80000.00,2,0,High School
AW00011071,Linda,NULL,Serrano,1960-12-23,S,F,80000.00,2,0,High School
AW00011072,Casey,NULL,Luo,1960-08-05,S,F,80000.00,2,0,High School
AW00011073,Amy,NULL,Ye,1962-02-11,S,F,70000.00,2,0,High School
AW00011074,Levi,A,Arun,1962-02-25,S,M,70000.00,2,0,High School
AW00011075,Felicia,L,Jimenez,1963-05-16,S,F,80000.00,2,0,High School
AW00011076,Blake,NULL,Anderson,1963-01-10,S,M,80000.00,2,0,High School
AW00011077,Leah,NULL,Ye,1963-03-19,S,F,80000.00,2,0,High School
AW00011078,Gina,E,Martin,1985-01-06,S,F,40000.00,0,0,High School
AW00011079,Donald,NULL,Gonzalez,1970-03-07,S,M,160000.00,0,0,Graduate Degree
AW00011080,Damien,NULL,Chander,1965-01-13,M,M,170000.00,0,0,Graduate Degree
AW00011081,Savannah,C,Baker,1972-01-21,M,F,120000.00,2,2,Bachelors
AW00011082,Angela,L,Butler,1972-02-01,S,F,130000.00,0,1,Graduate Degree
AW00011083,Alyssa,F,Cox,1977-03-11,M,F,130000.00,0,1,Graduate Degree
AW00011084,Lucas,NULL,Phillips,1963-03-12,S,M,80000.00,2,0,Partial High School
AW00011085,Emily,NULL,Johnson,1963-01-16,S,F,60000.00,2,0,High School
AW00011086,Ryan,NULL,Brown,1963-06-22,M,M,70000.00,2,1,Partial College
AW00011087,Tamara,L,Liang,1963-04-02,M,F,70000.00,3,2,Partial College
AW00011088,Hunter,NULL,Davis,1963-05-25,M,M,80000.00,2,1,Bachelors
AW00011089,Abigail,M,Price,1962-08-05,S,F,80000.00,2,1,Bachelors
AW00011090,Trevor,NULL,Bryant,1968-12-13,S,M,90000.00,2,0,Partial College
AW00011091,Dalton,NULL,Perez,1962-10-02,M,M,90000.00,2,0,Partial College
AW00011092,Cheryl,A,Diaz,1972-11-02,M,F,90000.00,2,2,Bachelors
AW00011093,Aimee,A,He,1978-09-06,M,F,100000.00,0,0,Graduate Degree
AW00011094,Cedric,W,Ma,1967-09-29,S,M,70000.00,1,0,Partial College
AW00011095,Chad,NULL,Kumar,1968-02-29,S,M,70000.00,1,0,Partial College
AW00011096,Andrés,NULL,Anand,1968-02-07,M,M,60000.00,1,0,Bachelors
AW00011097,Edwin,R,Nara,1972-10-23,M,M,60000.00,1,0,Partial College
AW00011098,Mallory,S,Rubio,1966-10-29,S,F,60000.00,1,0,Partial College
AW00011099,Adam,NULL,Ross,1966-09-05,M,M,60000.00,1,0,Bachelors
AW00011100,Latasha,L,Navarro,1966-03-15,S,F,60000.00,1,0,Partial College
AW00011101,Abby,L,Sai,1970-11-05,S,F,70000.00,0,0,Bachelors
AW00011102,Julia,L,Nelson,1970-10-19,S,F,80000.00,5,5,Bachelors
AW00011103,Cassie,NULL,Chande,1981-04-12,S,F,70000.00,0,0,Bachelors
AW00011104,Edgar,A,Sara,1975-03-08,M,M,70000.00,0,0,Bachelors
AW00011105,Candace,NULL,Fernandez,1970-06-27,S,F,70000.00,0,0,Bachelors
AW00011106,Jessie,NULL,Liu,1970-03-11,S,M,70000.00,0,0,Bachelors
AW00011107,Bianca,NULL,Lin,1976-03-04,M,F,90000.00,1,0,Bachelors
AW00011108,Kari,C,Alvarez,1969-01-10,S,F,70000.00,0,0,Bachelors
AW00011109,Ruben,D,Kapoor,1980-04-30,S,M,70000.00,0,0,Bachelors
AW00011110,Curtis,NULL,Yang,1967-12-04,M,M,60000.00,1,0,Partial College
AW00011111,Meredith,T,Gutierrez,1967-08-23,M,F,60000.00,1,0,Partial College
AW00011112,Crystal,C,Wang,1968-03-08,M,F,60000.00,1,0,Partial College
AW00011113,Micheal,A,Blanco,1973-02-17,M,M,70000.00,5,4,Bachelors
AW00011114,Leslie,C,Moreno,1967-11-25,S,F,70000.00,5,4,Partial College
AW00011115,Alvin,D,Cai,1967-08-12,M,M,70000.00,5,4,Partial College
AW00011116,Clinton,E,Carlson,1979-04-02,M,M,70000.00,5,4,Partial College
AW00011117,April,NULL,Deng,1966-08-21,M,F,70000.00,5,4,Partial College
AW00011118,Alvin,M,Zeng,1962-12-31,S,M,80000.00,1,0,Partial College
AW00011119,Evan,V,James,1940-10-07,S,M,30000.00,2,0,Partial College
AW00011120,Beth,H,Jiménez,1942-02-06,S,F,40000.00,2,0,Bachelors
AW00011121,Orlando,NULL,Suarez,1966-05-18,M,M,70000.00,5,4,Partial College
AW00011122,Byron,NULL,Vazquez,1965-09-30,M,M,70000.00,5,4,Partial College
AW00011123,Philip,A,Alvarez,1965-12-18,M,M,70000.00,5,4,Partial College
AW00011124,Ross,F,Jordan,1968-07-23,S,M,80000.00,1,0,Partial College
AW00011125,Dana,J,Navarro,1961-10-06,S,F,70000.00,1,0,Partial College
AW00011126,Shaun,NULL,Carson,1954-10-05,M,M,10000.00,2,1,High School
AW00011127,Jan,NULL,Edwards,1981-04-19,M,F,40000.00,0,0,High School
AW00011128,Samantha,NULL,Long,1981-06-03,M,F,40000.00,0,0,High School
AW00011129,Julia,M,Wright,1981-02-01,S,F,40000.00,0,0,High School
AW00011130,Caroline,L,Russell,1985-07-05,M,F,30000.00,0,0,High School
AW00011131,Amanda,NULL,Rivera,1985-09-09,M,F,30000.00,0,0,High School
AW00011132,Melissa,E,Richardson,1986-04-25,S,F,30000.00,0,0,High School
AW00011133,Angela,NULL,Griffin,1986-03-08,S,F,30000.00,0,0,Partial High School
AW00011134,Larry,D,Townsend,1957-02-22,S,M,10000.00,5,0,High School
AW00011135,Marcus,L,Harris,1985-05-02,S,M,30000.00,0,0,Partial High School
AW00011136,Brianna,D,Morgan,1984-04-24,S,F,40000.00,0,0,High School
AW00011137,Jasmine,A,Taylor,1984-01-17,M,F,40000.00,0,0,High School
AW00011138,Lauren,NULL,Davis,1984-03-14,M,F,40000.00,0,0,High School
AW00011139,Tanya,NULL,Moreno,1949-11-05,S,F,30000.00,2,0,Partial College
AW00011140,Javier,L,Alvarez,1982-08-11,S,M,30000.00,0,0,Partial High School
AW00011141,Nicole,NULL,Ramirez,1982-12-19,M,F,40000.00,0,0,High School
AW00011142,Eduardo,NULL,Patterson,1983-02-11,S,M,40000.00,0,0,High School
AW00011143,Jonathan,M,Henderson,1982-08-04,M,M,40000.00,0,0,High School
AW00011144,Edward,NULL,Hernandez,1985-03-08,S,M,40000.00,0,0,High School
AW00011145,Jasmine,L,Coleman,1985-06-06,S,F,40000.00,0,0,High School
AW00011146,Karla,L,Goel,1945-02-22,S,F,40000.00,2,0,Bachelors
AW00011147,Ernest,L,Wu,1944-08-04,M,M,60000.00,2,0,Graduate Degree
AW00011148,Ross,NULL,Vazquez,1947-02-13,M,M,40000.00,2,0,Bachelors
AW00011149,Theodore,NULL,Gill,1946-10-18,M,M,40000.00,2,0,Bachelors
AW00011150,Russell,M,Shen,1946-09-12,S,M,40000.00,2,0,Bachelors
AW00011151,Melinda,G,Gill,1947-08-25,S,F,60000.00,2,0,Graduate Degree
AW00011152,James,J,Williams,1981-07-09,S,M,40000.00,0,0,High School
AW00011153,Angela,R,James,1981-12-21,M,F,40000.00,0,0,High School
AW00011154,Megan,G,Walker,1982-02-18,S,F,40000.00,0,0,Partial College
AW00011155,Hunter,J,Robinson,1981-07-25,S,M,40000.00,0,0,Partial College
AW00011156,Maria,NULL,Roberts,1981-08-06,S,F,40000.00,0,0,Partial College
AW00011157,Hannah,E,Long,1980-12-08,M,F,40000.00,0,0,High School
AW00011158,Jason,K,Wright,1981-04-06,S,M,40000.00,0,0,High School
AW00011159,Brianna,A,Hughes,1981-03-16,S,F,40000.00,0,0,High School
AW00011160,Maurice,M,Tang,1979-07-08,S,M,40000.00,0,0,Partial College
AW00011161,Emily,NULL,Wood,1979-10-20,S,F,40000.00,0,0,Partial College
AW00011162,Chase,NULL,Cox,1979-09-02,S,M,40000.00,0,0,Partial College
AW00011163,Gabriel,NULL,Wang,1980-06-18,M,M,40000.00,0,0,Partial College
AW00011164,Devin,NULL,Brooks,1979-11-02,S,M,40000.00,0,0,Partial College
AW00011165,Jocelyn,NULL,Alexander,1979-01-15,M,F,60000.00,0,0,Partial College
AW00011166,Ashley,NULL,Martinez,1977-10-22,S,F,70000.00,0,0,Partial College
AW00011167,Jasmine,J,Barnes,1978-01-29,S,F,80000.00,0,0,Bachelors
AW00011168,David,NULL,Rodriguez,1973-11-12,S,M,80000.00,0,0,Bachelors
AW00011169,Bryce,NULL,Richardson,1973-12-20,M,M,90000.00,4,4,Bachelors
AW00011170,Carol,T,Howard,1973-08-04,M,F,90000.00,4,4,Bachelors
AW00011171,Jonathan,E,Hill,1978-10-05,S,M,100000.00,1,0,Bachelors
AW00011172,Gabrielle,J,Adams,1973-05-20,M,F,100000.00,1,0,Bachelors
AW00011173,Sarah,F,Thomas,1973-02-28,S,F,110000.00,0,0,Graduate Degree
AW00011174,Nicholas,NULL,Robinson,1973-01-09,M,M,110000.00,0,1,Graduate Degree
AW00011175,Luis,NULL,Wang,1968-09-01,S,M,70000.00,0,0,Partial College
AW00011176,Mason,D,Roberts,1979-01-21,M,M,90000.00,4,4,Bachelors
AW00011177,Jose,M,Flores,1948-01-01,M,M,110000.00,2,4,Graduate Degree
AW00011178,Nathan,J,Johnson,1954-08-20,M,M,100000.00,2,3,Graduate Degree
AW00011179,Molly,E,Rodriguez,1959-12-08,M,F,120000.00,2,4,Graduate Degree
AW00011180,April,NULL,Anand,1948-07-01,M,F,160000.00,1,3,Bachelors
AW00011181,Devin,P,Martin,1960-02-01,M,M,170000.00,2,3,Graduate Degree
AW00011182,Stephanie,NULL,Torres,1950-02-22,S,F,70000.00,4,0,Bachelors
AW00011183,Jasmine,W,Lee,1950-01-12,S,F,70000.00,4,0,Bachelors
AW00011184,Meghan,NULL,Hernandez,1955-11-13,S,F,70000.00,4,0,Bachelors
AW00011185,Ashley,NULL,Henderson,1950-04-07,S,F,70000.00,4,0,Bachelors
AW00011186,Sarah,C,Price,1949-11-18,S,F,70000.00,4,0,Bachelors
AW00011187,Jennifer,S,Cooper,1949-08-21,M,F,60000.00,4,0,Graduate Degree
AW00011188,Catherine,NULL,Morris,1950-03-06,M,F,60000.00,4,0,Graduate Degree
AW00011189,Lawrence,W,Blanco,1950-01-12,S,M,60000.00,4,0,Graduate Degree
AW00011190,Carson,NULL,Bryant,1949-12-20,M,M,70000.00,5,0,Bachelors
AW00011191,Kristi,E,Perez,1951-06-17,S,F,70000.00,5,0,Bachelors
AW00011192,James,C,Brown,1951-03-13,M,M,60000.00,4,0,Bachelors
AW00011193,Ian,A,Gray,1950-08-13,M,M,60000.00,4,0,Bachelors
AW00011194,Jacqueline,R,Price,1950-12-08,M,F,60000.00,4,0,Bachelors
AW00011195,Megan,NULL,Henderson,1951-08-10,M,F,60000.00,5,0,Bachelors
AW00011196,Alfredo,NULL,Romero,1951-12-05,M,M,60000.00,5,0,Bachelors
AW00011197,Andrea,NULL,Morris,1951-12-16,M,F,70000.00,3,1,Bachelors
AW00011198,Brooke,NULL,Sanders,1952-05-25,S,F,70000.00,4,1,Bachelors
AW00011199,Jacqueline,NULL,Bennett,1957-11-02,M,F,70000.00,4,1,Bachelors
AW00011200,Jason,L,Griffin,1953-05-21,M,M,70000.00,4,1,Bachelors
AW00011201,Amanda,NULL,Foster,1953-02-14,M,F,70000.00,4,1,Bachelors
AW00011202,Alexia,L,Price,1958-08-22,M,F,80000.00,5,0,Bachelors
AW00011203,Luis,D,Diaz,1959-08-18,M,M,40000.00,2,1,High School
AW00011204,Destiny,C,Rivera,1953-11-29,M,F,40000.00,2,1,High School
AW00011205,Abby,NULL,Fernandez,1954-01-21,M,F,40000.00,2,1,High School
AW00011206,Blake,NULL,Flores,1954-03-24,M,M,60000.00,2,1,Partial College
AW00011207,Danielle,NULL,Cox,1954-01-16,S,F,60000.00,2,1,Partial College
AW00011208,Maria,NULL,Reed,1953-08-03,M,F,60000.00,2,1,Bachelors
AW00011209,Allison,NULL,Evans,1953-07-12,M,F,60000.00,2,1,Bachelors
AW00011210,Edward,J,Wood,1953-12-06,M,M,70000.00,4,1,Partial College
AW00011211,Samantha,NULL,Russell,1960-10-08,M,F,40000.00,2,1,High School
AW00011212,Chloe,NULL,Campbell,1955-05-05,M,F,40000.00,2,1,High School
AW00011213,Stephanie,B,Murphy,1954-11-11,S,F,60000.00,2,1,Partial College
AW00011214,Charles,O,Miller,1955-05-07,S,M,60000.00,2,1,Partial College
AW00011215,Ana,NULL,Perry,1961-06-17,M,F,40000.00,2,1,Partial High School
AW00011216,Jasmine,A,Torres,1955-11-17,S,F,60000.00,2,1,Partial College
AW00011217,Natalie,P,Adams,1955-08-11,S,F,60000.00,2,1,Partial College
AW00011218,Olivia,NULL,Brown,1961-09-07,S,F,60000.00,2,1,Partial College
AW00011219,Charles,NULL,Cook,1956-05-31,M,M,60000.00,2,1,High School
AW00011220,Erica,C,Huang,1961-02-19,M,F,60000.00,2,1,Partial College
AW00011221,Nathan,NULL,Perry,1955-12-08,M,M,70000.00,4,2,Partial College
AW00011222,Alexandra,NULL,Rivera,1956-02-14,M,F,80000.00,3,1,Bachelors
AW00011223,Hailey,I,Patterson,1957-03-15,S,F,70000.00,2,1,High School
AW00011224,Tiffany,J,Li,1957-03-05,S,F,70000.00,2,1,High School
AW00011225,Madison,D,Lee,1962-02-12,M,F,60000.00,2,1,Partial College
AW00011226,Sydney,T,Ross,1962-09-23,M,F,60000.00,2,1,Partial College
AW00011227,Marshall,D,Chavez,1962-08-08,S,M,60000.00,2,1,Partial College
AW00011228,Ashley,R,Jones,1956-10-16,M,F,60000.00,2,1,Partial College
AW00011229,Adrian,C,Stewart,1957-06-01,S,M,70000.00,4,2,Partial College
AW00011230,Amber,NULL,Turner,1956-09-30,M,F,70000.00,4,2,Partial College
AW00011231,Dennis,NULL,Zhang,1963-11-11,M,M,60000.00,2,1,High School
AW00011232,Hailey,R,Bryant,1958-03-27,M,F,60000.00,3,1,High School
AW00011233,Todd,NULL,Li,1963-09-06,M,M,70000.00,4,2,Partial College
AW00011234,Anna,NULL,Griffin,1958-05-19,S,F,70000.00,4,2,Partial College
AW00011235,Angel,J,Stewart,1957-08-07,M,M,70000.00,4,2,Partial College
AW00011236,Jeremy,NULL,Butler,1957-09-02,S,M,70000.00,5,2,Partial College
AW00011237,Clarence,M,Anand,1964-03-22,S,M,130000.00,2,3,Bachelors
AW00011238,Mayra,NULL,Prasad,1964-02-07,S,F,130000.00,2,3,Bachelors
AW00011239,Latoya,C,Goel,1969-10-02,M,F,130000.00,2,4,Partial College
AW00011240,Anne,B,Hernandez,1964-06-09,M,F,160000.00,2,3,Partial College
AW00011241,Lisa,NULL,Cai,1974-04-06,S,F,100000.00,2,3,Partial College
AW00011242,Larry,NULL,Munoz,1963-05-11,M,M,110000.00,2,4,Partial College
AW00011243,Robin,V,Alvarez,1963-04-08,M,F,150000.00,2,3,Partial College
AW00011244,Alexis,M,Coleman,1968-11-22,S,F,170000.00,2,3,Bachelors
AW00011245,Ricky,D,Vazquez,1962-04-26,M,M,120000.00,3,4,High School
AW00011246,Latasha,NULL,Rubio,1962-04-08,M,F,120000.00,3,4,High School
AW00011247,Claudia,M,Zhou,1961-12-04,S,F,130000.00,3,4,Partial College
AW00011248,Tristan,P,Alexander,1966-03-22,M,M,110000.00,3,4,Partial College
AW00011249,Cindy,A,Patel,1966-07-09,M,F,130000.00,3,4,Partial College
AW00011250,Shannon,D,Liu,1966-03-08,M,F,170000.00,3,4,High School
AW00011251,Xavier,NULL,Long,1938-01-01,S,M,30000.00,4,0,High School
AW00011252,Nicholas,D,Thompson,1937-12-05,S,M,90000.00,3,0,Graduate Degree
AW00011253,José,M,Hernandez,1949-08-24,M,M,60000.00,2,0,Graduate Degree
AW00011254,Johnathan,W,Vance,1938-08-31,M,M,70000.00,4,0,Graduate Degree
AW00011255,Colin,NULL,Lin,1938-10-02,M,M,70000.00,4,0,Graduate Degree
AW00011256,Katelyn,L,Hernandez,1939-03-20,M,F,70000.00,4,0,Graduate Degree
AW00011257,Jacqueline,NULL,Powell,1938-07-06,S,F,120000.00,1,2,Graduate Degree
AW00011258,Xavier,NULL,Hill,1938-12-26,M,M,120000.00,1,2,Graduate Degree
AW00011259,Victoria,C,Stewart,1970-09-24,M,F,100000.00,4,1,Partial College
AW00011260,Katelyn,L,Kelly,1976-04-08,M,F,110000.00,2,2,Bachelors
AW00011261,Stephanie,NULL,Collins,1970-10-22,M,F,130000.00,1,2,Graduate Degree
AW00011262,Jennifer,NULL,Simmons,1975-05-01,M,F,80000.00,4,3,Bachelors
AW00011263,Trinity,NULL,Richardson,1970-03-11,M,F,90000.00,5,5,Partial College
AW00011264,Eduardo,NULL,Martin,1969-12-15,S,M,90000.00,5,5,Partial College
AW00011265,Elizabeth,P,Jones,1970-01-10,M,F,90000.00,5,5,Partial College
AW00011266,Taylor,NULL,Howard,1969-11-02,S,F,90000.00,0,0,Partial College
AW00011267,David,NULL,Diaz,1975-09-29,S,M,120000.00,4,2,Partial College
AW00011268,Katelyn,A,Carter,1969-10-31,M,F,130000.00,2,2,Graduate Degree
AW00011269,Ryan,W,Foster,1975-10-10,M,M,130000.00,2,2,Graduate Degree
AW00011270,Robert,L,Lee,1975-05-01,M,M,130000.00,2,2,Graduate Degree
AW00011271,Danielle,C,Reed,1969-12-03,S,F,150000.00,2,0,Bachelors
AW00011272,Lauren,L,Martinez,1962-05-10,S,F,70000.00,4,3,Partial College
AW00011273,Nathan,E,Lal,1962-03-31,M,M,90000.00,2,1,Partial College
AW00011274,Kyle,M,Foster,1939-10-10,M,M,50000.00,2,0,Graduate Degree
AW00011275,Jenny,D,Rai,1939-07-18,M,F,80000.00,4,0,Graduate Degree
AW00011276,Nancy,E,Chapman,1974-09-15,M,F,80000.00,4,3,Partial College
AW00011277,Charles,P,Jackson,1968-12-07,M,M,80000.00,4,3,Partial College
AW00011278,Jonathan,NULL,Phillips,1969-02-16,S,M,90000.00,0,0,Partial College
AW00011279,Amanda,S,Cook,1974-09-08,M,F,90000.00,0,0,Partial College
AW00011280,Robert,NULL,Collins,1969-02-17,M,M,90000.00,0,0,Partial College
AW00011281,Megan,J,Barnes,1974-10-06,S,F,110000.00,4,2,Bachelors
AW00011282,Christian,A,Thomas,1967-07-16,M,M,90000.00,5,4,Partial College
AW00011283,Arturo,NULL,Lal,1968-04-24,M,M,110000.00,1,3,Bachelors
AW00011284,Theresa,NULL,Serrano,1967-09-24,M,F,110000.00,1,3,Bachelors
AW00011285,Jeremy,J,Anderson,1973-03-15,M,M,120000.00,1,3,Partial College
AW00011286,Hunter,D,Griffin,1967-08-31,M,M,170000.00,0,0,Graduate Degree
AW00011287,Henry,B,Garcia,1966-07-16,M,M,70000.00,5,4,Partial College
AW00011288,Cindy,K,Sanchez,1978-03-12,M,F,110000.00,1,3,Bachelors
AW00011289,Maria,S,Carter,1972-03-03,M,F,130000.00,1,3,Bachelors
AW00011290,Katelyn,NULL,Sanchez,1972-08-14,M,F,130000.00,1,3,Bachelors
AW00011291,Jenna,NULL,Wright,1972-05-01,M,F,130000.00,1,3,Bachelors
AW00011292,Seth,NULL,Phillips,1967-05-05,S,M,150000.00,1,2,Partial College
AW00011293,Luke,S,Long,1960-11-23,S,M,60000.00,2,0,High School
AW00011294,Dalton,P,Clark,1961-03-02,M,M,60000.00,2,0,High School
AW00011295,Taylor,G,Lewis,1959-11-13,S,F,80000.00,2,0,Partial High School
AW00011296,Haley,NULL,Richardson,1941-04-05,S,F,50000.00,2,0,Graduate Degree
AW00011297,Noah,NULL,Coleman,1940-08-01,S,M,70000.00,4,0,Graduate Degree
AW00011298,Jon,NULL,Luo,1940-08-30,M,M,70000.00,4,0,Graduate Degree
AW00011299,Orlando,E,Vazquez,1941-09-29,M,M,70000.00,4,0,Graduate Degree
AW00011300,Fernando,NULL,Barnes,1965-08-31,M,M,80000.00,5,4,Partial College
AW00011301,Cameron,L,Rodriguez,1965-12-07,M,M,80000.00,5,4,Partial College
AW00011302,Spencer,NULL,Russell,1971-12-09,S,M,90000.00,4,3,High School
AW00011303,Julia,NULL,Coleman,1966-04-10,S,F,90000.00,4,3,High School
AW00011304,Julia,B,Garcia,1971-03-14,M,F,100000.00,0,3,Partial College
AW00011305,Sean,A,Evans,1965-12-17,M,M,110000.00,3,3,Partial College
AW00011306,Micah,A,Zhou,1965-12-20,M,M,110000.00,3,3,Partial College
AW00011307,Hunter,P,Rodriguez,1965-10-31,M,M,80000.00,2,0,Partial High School
AW00011308,Ian,T,Gonzales,1959-09-02,M,M,60000.00,2,0,High School
AW00011309,Victoria,NULL,Lewis,1959-12-10,S,F,60000.00,2,0,High School
AW00011310,Erin,A,Sanders,1964-07-05,S,F,70000.00,3,0,Graduate Degree
AW00011311,Gabrielle,D,Lopez,1959-02-21,S,F,70000.00,3,0,Graduate Degree
AW00011312,Sara,NULL,Richardson,1958-10-01,S,F,70000.00,3,0,Graduate Degree
AW00011313,Trevor,NULL,Jenkins,1958-08-27,S,M,70000.00,3,0,Graduate Degree
AW00011314,Mya,NULL,Flores,1970-06-16,S,F,70000.00,3,0,Graduate Degree
AW00011315,Hailey,J,Ward,1959-03-31,S,F,70000.00,3,0,Graduate Degree
AW00011316,Luke,NULL,Allen,1959-05-17,M,M,60000.00,3,0,Graduate Degree
AW00011317,Victoria,D,Russell,1963-09-14,S,F,40000.00,3,0,Partial College
AW00011318,Jessica,NULL,Wilson,1958-04-25,S,F,40000.00,3,0,Partial College
